emp_no,first_name,last_name,title,dept_name
10907,JiYoung,Luks,Senior Staff,Human Resources
10908,Rajmohan,Koblick,Senior Staff,Human Resources
10915,Valery,Skafidas,Senior Engineer,Production
10916,Make,Spataro,Engineer,Production
10919,Reinhard,Lindenbaum,Staff,Marketing
10928,Udaiprakash,Schmezko,Senior Staff,Marketing
10933,Juyoung,Seghrouchni,Senior Engineer,Production
10935,Morris,Famili,Staff,Finance
10937,Anyuan,Nanard,Senior Engineer,Production
10939,Matk,Akazan,Assistant Engineer,Quality Management
10951,Marco,Iisaku,Senior Staff,Finance
10954,Ranga,Burnard,Staff,Customer Service
10957,Duke,Schnabel,Senior Staff,Sales
10964,Takushi,Bolsens,Senior Staff,Finance
10966,Danel,Pardalos,Staff,Production
10967,Eran,Adachi,Senior Engineer,Development
10968,Lakshmi,Kolinko,Senior Staff,Sales
10970,Gen,Tiemann,Engineer,Production
10972,Fumiko,Asser,Senior Engineer,Development
10973,Valdiodio,Raczkowsky,Senior Engineer,Development
10975,Peternela,Birnbaum,Senior Engineer,Customer Service
10976,Hitomi,Valette,Technique Leader,Production
10978,Huiqun,Bellone,Senior Engineer,Production
10980,Filipp,Munawer,Senior Engineer,Development
10982,Yishay,Decleir,Senior Staff,Research
10983,Somnath,Parascandalo,Senior Engineer,Production
10995,Chenye,Hertweck,Senior Staff,Marketing
11007,Olivera,Maccarone,Engineer,Development
11010,Jaques,Narwekar,Senior Staff,Finance
11013,Breannda,Vesel,Engineer,Development
11022,Apostol,Pintelas,Senior Staff,Customer Service
11023,Yifei,Driscoll,Senior Staff,Sales
11029,Georgi,Itzfeldt,Senior Staff,Sales
11034,Moti,Shrader,Senior Staff,Customer Service
11035,Bangqing,Atrawala,Staff,Marketing
11036,Muzhong,Greenaway,Senior Staff,Finance
11040,Cristinel,Denna,Senior Staff,Human Resources
11041,Stamatina,Matheson,Senior Engineer,Quality Management
11043,Iara,Range,Engineer,Development
11046,Jixiang,Verhaegen,Senior Staff,Finance
11049,Gift,Apsitis,Senior Staff,Sales
11058,Shigeaki,Cyre,Senior Staff,Research
11059,Shawna,Jarecki,Senior Engineer,Development
11072,Arfst,Pulkowski,Staff,Production
11074,Spyrose,Peak,Senior Staff,Customer Service
11076,Youssef,Schaad,Engineer,Development
11095,Nathan,Flowers,Staff,Customer Service
11096,Shugo,Zallocco,Senior Engineer,Production
11101,Manibrata,Horswill,Assistant Engineer,Development
11104,Hein,Swan,Senior Engineer,Development
11108,Danae,Grabner,Senior Staff,Human Resources
11109,Chinho,Stamatiou,Senior Staff,Sales
11120,Masato,Curless,Senior Staff,Customer Service
11122,Aleksandar,Randi,Senior Staff,Finance
11124,Gladys,Porenta,Senior Staff,Sales
11136,Gladys,Luiz,Senior Engineer,Development
11142,Moheb,Raney,Senior Engineer,Development
11149,Domenico,Imataki,Senior Staff,Sales
11155,Moon,Yetto,Staff,Sales
11164,Alain,Limongiello,Senior Staff,Sales
11171,Yuguang,Passino,Senior Staff,Human Resources
11172,Kristian,Sudkamp,Senior Staff,Marketing
11175,Aksel,Rajaraman,Engineer,Development
11182,Tze,Steinauer,Senior Engineer,Production
11191,Pradeep,Crooks,Senior Staff,Marketing
11193,Val,Kumaresan,Senior Staff,Human Resources
11198,Leif,Gini,Senior Staff,Sales
11200,Renny,Junet,Technique Leader,Development
11202,Marek,Ranon,Senior Staff,Human Resources
11205,Tayeb,Ebeling,Staff,Sales
11209,Xuejun,Penn,Engineer,Customer Service
11212,Teruyuki,Peternell,Senior Staff,Sales
11216,Utz,Perng,Technique Leader,Production
11220,Sahrah,Figueira,Staff,Research
11225,Maria,Schicker,Senior Engineer,Production
11226,Margareta,Akiyama,Senior Staff,Sales
11234,Tooru,Vingron,Senior Engineer,Production
11235,Larisa,Schueller,Senior Engineer,Production
11236,Marek,Orlowska,Senior Engineer,Production
11238,Kwan,Chenoweth,Senior Engineer,Research
11246,Maik,Reinhart,Engineer,Production
11260,Ingemar,Schade,Staff,Customer Service
11261,Claudi,Demri,Senior Engineer,Production
11262,Bokyung,Melski,Senior Staff,Marketing
11263,Kwangjo,Fiebach,Senior Engineer,Production
11264,Uma,Oehlmann,Senior Engineer,Development
11269,Garnik,Slutz,Staff,Sales
11270,Gina,Falster,Senior Staff,Research
11272,Frederique,Molenkamp,Staff,Sales
11273,Make,Guting,Senior Staff,Finance
11277,Munehiro,Ritcey,Senior Staff,Development
11282,Josyula,Schaad,Staff,Sales
11283,Shmuel,Codenie,Senior Staff,Finance
11284,Bernice,Felcyn,Engineer,Quality Management
11285,Randy,Koshino,Staff,Finance
11286,Joydip,Gini,Senior Staff,Sales
11287,Sreenivas,Farrag,Senior Staff,Marketing
11299,Christfried,Tokunaga,Senior Engineer,Production
11307,Mohd,Dratva,Senior Staff,Sales
11309,Caolyn,Ranai,Staff,Finance
11310,Jianhua,Swab,Staff,Sales
11313,Paraskevi,Kusalik,Senior Staff,Marketing
11316,Ult,Farrar,Assistant Engineer,Development
11318,Gopalakrishnan,Unno,Senior Staff,Sales
11334,Yurij,Vural,Staff,Sales
11345,Youngkon,Maierhofer,Engineer,Development
11346,Jungsoon,Fiebach,Senior Staff,Finance
11348,Vishu,Kroll,Senior Staff,Human Resources
11352,Toney,Terekhov,Senior Engineer,Customer Service
11355,Shim,Gecsei,Technique Leader,Production
11361,Zhonghui,Birdsall,Senior Engineer,Customer Service
11362,Tooru,Hockney,Senior Engineer,Production
11363,Jenwei,Milicia,Senior Staff,Finance
11366,Yinlin,Rajaraman,Senior Engineer,Development
11367,Christophe,Slobodova,Staff,Finance
11369,Alair,Camarinopoulos,Technique Leader,Quality Management
11379,Guiseppe,Chenoweth,Assistant Engineer,Development
11382,Akemi,Otillio,Senior Engineer,Development
11383,Billur,Herbst,Staff,Human Resources
11384,Jaana,Veccia,Senior Staff,Customer Service
11391,Jouko,Antonakopoulos,Engineer,Production
11394,Masadi,Uhrik,Senior Staff,Customer Service
11397,Fumiya,Kisuki,Technique Leader,Development
11407,Thanasis,Thebaut,Senior Staff,Customer Service
11408,Shahab,Serot,Staff,Research
11411,Shigehito,Giaccio,Senior Staff,Customer Service
11412,Werner,Demeyer,Senior Staff,Sales
11413,Yannik,Murillo,Senior Staff,Research
11424,Lein,Sudkamp,Senior Staff,Customer Service
11427,Haldun,Iisaka,Senior Staff,Sales
11435,Utpal,Lichtman,Senior Staff,Marketing
11440,Lubomir,Jahnichen,Engineer,Development
11443,Szabolcs,Nivat,Senior Staff,Sales
11444,Sangeeta,Leuchs,Senior Engineer,Production
11447,Rasiah,Billawala,Senior Engineer,Production
11453,Fei,Lakshmanan,Technique Leader,Production
11454,Yolla,Zedlitz,Senior Engineer,Quality Management
11464,Boutros,Simkin,Engineer,Production
11466,Naftali,Koshino,Senior Engineer,Production
11470,Khalid,Michaels,Engineer,Development
11471,Subhada,Champarnaud,Technique Leader,Production
11472,Constantino,Ghandeharizadeh,Senior Staff,Sales
11478,Nidapan,Ginneken,Senior Staff,Sales
11482,Uri,Deverell,Senior Staff,Sales
11486,Itzchak,Ramaiah,Senior Staff,Sales
11487,Arumugam,Cairo,Engineer,Production
11488,Houman,Veldwijk,Senior Engineer,Quality Management
11489,Sandeepan,Yeung,Senior Staff,Marketing
11492,Menkae,Mikschl,Senior Engineer,Production
11495,Shin,Barriga,Senior Staff,Sales
11496,Toshimo,Marakhovsky,Engineer,Production
11504,Saeed,Ananiadou,Senior Engineer,Quality Management
11505,Shietung,Billingsley,Senior Engineer,Quality Management
11511,Arlette,Mikschl,Assistant Engineer,Production
11512,Nidapan,Hagimont,Senior Engineer,Development
11514,Georgy,Iwayama,Senior Engineer,Production
11544,Elzbieta,Thimonier,Senior Staff,Finance
11545,Bartek,Lieblein,Senior Engineer,Quality Management
11546,Duro,Vuskovic,Senior Staff,Sales
11549,Guoxiang,Juneja,Engineer,Production
11550,Divine,Georgakopoulos,Engineer,Production
11551,Subhrajyoti,Gonthier,Senior Engineer,Development
11559,Jaihie,Nollmann,Senior Engineer,Quality Management
11565,Yoshinari,Sankaranarayanan,Senior Engineer,Development
11566,Martina,Quittner,Engineer,Production
11576,Lakshmi,Demizu,Senior Staff,Marketing
11579,Jinxi,Merel,Staff,Sales
11582,Willard,Baar,Senior Staff,Production
11586,Shridhar,Orsini,Staff,Sales
11590,Adel,Eppinger,Engineer,Development
11591,Kiyomitsu,Lindqvist,Senior Staff,Production
11593,Eckart,Gunderson,Engineer,Quality Management
11594,Pradeep,Butner,Senior Staff,Sales
11598,Sariel,Ertl,Senior Engineer,Development
11600,Yurij,Pardalos,Senior Engineer,Production
11604,Deborah,Baar,Senior Engineer,Development
11608,Jagoda,Jonsson,Technique Leader,Production
11610,Eirik,Sidhu,Senior Engineer,Production
11612,Siamak,Baar,Senior Engineer,Development
11618,Gian,Juneja,Staff,Marketing
11622,Moon,Ginneken,Senior Engineer,Quality Management
11623,Becky,Jullig,Senior Engineer,Production
11627,Zeljko,Schreiter,Engineer,Production
11629,Miquel,Muhlberg,Staff,Research
11634,Turgut,Fraisse,Engineer,Development
11635,Nalini,Mahnke,Senior Engineer,Development
11638,JoAnne,Falco,Senior Engineer,Quality Management
11639,Khatoun,Herath,Senior Engineer,Development
11653,Mohammed,Ananiadou,Senior Engineer,Development
11654,Jianhui,Zwicker,Engineer,Quality Management
11655,Gift,Broomell,Senior Engineer,Development
11656,Aimee,Muniz,Staff,Marketing
11658,Hongzue,Streng,Senior Engineer,Development
11661,Candida,Moffat,Engineer,Production
11662,Mokhtar,Hofting,Senior Staff,Sales
11670,Evgueni,Kroon,Senior Staff,Human Resources
11682,Dante,Zumaque,Senior Staff,Human Resources
11687,Owen,Peak,Senior Engineer,Production
11694,Stamatina,Ozery,Senior Staff,Human Resources
11704,Naftali,Baalen,Engineer,Production
11706,Tesuya,Remmers,Staff,Sales
11707,Tooru,Hettesheimer,Senior Engineer,Development
11712,Mohua,Lyonns,Staff,Customer Service
11716,Anneli,Leijenhorst,Senior Engineer,Development
11721,Xuejun,Heydon,Senior Engineer,Development
11723,Halsur,Bauknecht,Senior Staff,Customer Service
11727,Baziley,Felcyn,Senior Staff,Marketing
11728,Serge,Makrucki,Senior Staff,Sales
11731,Fumitaka,Gargeya,Senior Staff,Customer Service
11734,Ramya,Baezner,Staff,Human Resources
11740,Isaac,Pero,Senior Staff,Marketing
11741,Valeri,Vigier,Senior Staff,Finance
11745,Janche,Bahi,Staff,Research
11752,Bingning,Etalle,Senior Staff,Marketing
11753,Fayez,Nishimukai,Senior Staff,Sales
11757,Jackson,Meriste,Senior Engineer,Development
11759,Feixiong,Cincotta,Engineer,Quality Management
11761,Bartek,Aamodt,Senior Staff,Finance
11766,Nimmagadda,Berztiss,Senior Engineer,Development
11768,Krassimir,Erol,Senior Engineer,Production
11773,Naftaly,Lorys,Senior Staff,Sales
11775,Sajjad,Xiaoshan,Senior Engineer,Development
11777,Mayumi,Cooley,Senior Staff,Human Resources
11780,Sugwoo,Sewelson,Senior Engineer,Production
11781,Tua,Pluym,Staff,Sales
11782,Tesuro,Lanzelotte,Technique Leader,Production
11786,Sarita,Birch,Staff,Marketing
11788,Georgy,Gopalakrishnan,Technique Leader,Customer Service
11789,Udi,Khasidashvili,Senior Staff,Research
11794,Atreye,Ghandeharizadeh,Senior Engineer,Development
11796,Sachem,Egerstedt,Senior Staff,Finance
11798,Kwan,Quaggetto,Senior Staff,Finance
11799,Duro,Silva,Assistant Engineer,Development
11806,Shan,Leivant,Engineer,Development
11808,Morrie,Rosiles,Senior Engineer,Development
11815,Akemi,Sommen,Technique Leader,Customer Service
11816,Masako,Besselaar,Senior Staff,Finance
11820,Danil,Badache,Senior Engineer,Development
11825,Theirry,Kuzuoka,Senior Engineer,Quality Management
11826,Carrsten,Rotem,Senior Engineer,Production
11831,Udaiprakash,Billingsley,Senior Engineer,Customer Service
11833,Yolla,Levasseur,Staff,Marketing
11834,Mana,Wegerle,Technique Leader,Development
11835,Arnould,Hofman,Senior Engineer,Production
11839,Navid,Falck,Senior Engineer,Production
11840,Jayson,Hofman,Senior Staff,Sales
11850,Bikash,Maginnis,Senior Staff,Sales
11851,Suvo,Copas,Senior Staff,Customer Service
11852,Zhongwei,Yurek,Staff,Sales
11856,Gao,Alpin,Senior Engineer,Production
11858,Slavian,Baik,Staff,Finance
11861,Vincent,Claffy,Engineer,Development
11863,Stella,Peng,Senior Engineer,Development
11884,Patricia,Moehrke,Senior Staff,Sales
11885,Sandeepan,Velasco,Technique Leader,Development
11898,Jinya,Piveteau,Engineer,Production
11899,Bodh,Munke,Engineer,Production
11900,Tse,Ermel,Technique Leader,Production
11901,Baoqiu,Plumb,Senior Staff,Marketing
11903,Aiichiro,Vilarrasa,Senior Engineer,Production
11904,DeForest,Flasterstein,Staff,Marketing
11912,Kristian,Giaccio,Senior Engineer,Production
11924,Hirochika,Worfolk,Engineer,Production
11937,Zissis,Baba,Staff,Finance
11953,Moheb,Baar,Staff,Marketing
11955,Domenico,Eastman,Senior Engineer,Development
11968,Mitchel,Dayang,Senior Engineer,Development
11974,Vojin,Sabnani,Senior Staff,Finance
11979,Abdulah,Akazan,Staff,Human Resources
11981,LiMin,Horswill,Senior Engineer,Development
11984,Vasilii,Luit,Senior Engineer,Development
11986,Reinhard,Azuma,Senior Staff,Customer Service
11990,Chanjung,Matheson,Senior Engineer,Development
11991,Qunsheng,Esteva,Senior Staff,Research
12003,Luise,McFarlan,Senior Staff,Marketing
12004,Lucien,Schlenzig,Technique Leader,Development
12006,Remco,Erol,Engineer,Development
12009,Sariel,Stifter,Assistant Engineer,Development
12012,Syozo,Zolotykh,Senior Staff,Sales
12014,Apostol,Lunt,Senior Engineer,Quality Management
12019,Mads,Ossenbruggen,Senior Staff,Research
12027,Zhanqiu,Vuskovic,Technique Leader,Research
12031,Achilleas,Vendrig,Senior Engineer,Quality Management
12039,Kazuhide,Junet,Senior Staff,Customer Service
12045,Mototsugu,Boguraev,Senior Engineer,Development
12049,Guadalupe,Covnot,Senior Engineer,Production
12056,Nirmal,Genther,Senior Engineer,Research
12057,Vishv,Speckmann,Senior Staff,Marketing
12058,Qunsheng,Khamsi,Senior Engineer,Development
12064,Heping,Silva,Senior Engineer,Production
12065,Moto,Roohalamini,Senior Engineer,Production
12066,Junichi,Deville,Senior Staff,Finance
12067,Doowon,Kalsbeek,Senior Staff,Customer Service
12072,Rosalie,Larfeldt,Senior Engineer,Quality Management
12084,Morris,Krohm,Senior Engineer,Development
12085,Hugh,Rouquie,Senior Staff,Customer Service
12096,Weiwu,Schlenzig,Senior Staff,Finance
12105,Christfried,Lorcy,Staff,Research
12107,Manibrata,Antonisse,Engineer,Development
12108,Akeel,Frezza,Senior Engineer,Development
12111,Shakhar,Oberman,Senior Staff,Research
12115,Moni,Candan,Senior Engineer,Development
12116,Atreye,Levergood,Senior Engineer,Development
12118,Arunas,Hedayat,Senior Staff,Marketing
12121,Gadiel,Vendrig,Senior Engineer,Quality Management
12124,Jingling,Schaaf,Senior Staff,Research
12126,Vugranam,Parveen,Senior Engineer,Production
12131,Gregory,Fandrianto,Senior Engineer,Production
12134,Hsiangchu,Flasterstein,Senior Staff,Production
12139,Guangming,Senzako,Senior Engineer,Production
12150,Dekang,Boissier,Senior Engineer,Production
12151,Takahiro,Sigstam,Senior Staff,Marketing
12152,Amalendu,Nyrup,Senior Staff,Customer Service
12153,Tremaine,Kroha,Engineer,Production
12155,Keiichiro,Glinert,Senior Engineer,Production
12162,Alois,Dulli,Senior Engineer,Production
12167,Hisao,Kornyak,Senior Staff,Customer Service
12169,Arnd,Broomell,Staff,Human Resources
12170,Moie,Nannarelli,Staff,Marketing
12176,Christoper,Holburn,Senior Engineer,Development
12178,Miyeon,Chinal,Staff,Marketing
12180,Heejo,Ruemmler,Senior Engineer,Development
12182,Kwangho,Beausoleil,Senior Staff,Finance
12184,Chenxi,Zhang,Senior Staff,Sales
12193,Lucian,Oxman,Senior Staff,Human Resources
12199,Huan,Poupard,Senior Staff,Sales
12208,Bartek,Passino,Senior Staff,Development
12224,Nikolaus,Lenart,Staff,Sales
12225,Yongqiao,Narahara,Staff,Sales
12226,Kankanahalli,Joslin,Engineer,Research
12228,Sreenivas,Melter,Senior Engineer,Development
12243,Lihong,Leivant,Senior Engineer,Development
12245,Christ,Baba,Engineer,Production
12246,Gill,Rehfuss,Senior Staff,Human Resources
12253,Amabile,Gimarc,Staff,Sales
12267,Leon,Menhoudj,Engineer,Production
12279,Renee,Brookman,Senior Engineer,Research
