emp_no,first_name,last_name,birthdate,gender,hire_date,dept_no,dept_name
10356,Vasilis,Standera,1952-08-12,M,1988-08-06,d008,Research
10364,Nakhoon,Dengi,1954-09-21,M,1985-11-14,d004,Production
10372,Anneli,Frijda,1952-04-08,F,1985-07-30,d004,Production
10387,Parto,Wrigley,1952-11-03,F,1987-02-19,d009,Customer Service
10396,Sibyl,Rahier,1955-08-21,M,1986-01-11,d005,Development
10402,Volkmar,Ebeling,1953-07-23,M,1987-01-02,d006,Quality Management
10404,Prodip,Rosti,1955-04-27,F,1988-08-28,d005,Development
10426,Arunas,Luce,1955-12-28,F,1985-07-06,d005,Development
10429,Martien,Improta,1952-02-13,F,1986-03-09,d005,Development
10432,Hisao,Tiemann,1953-11-06,F,1985-04-30,d009,Customer Service
10451,Bodh,Ranta,1952-10-06,F,1988-03-12,d004,Production
10453,Tsvetan,Matzel,1953-07-19,F,1985-04-02,d009,Customer Service
10463,Ung,Zaiane,1954-05-20,M,1987-12-25,d007,Sales
10486,Amstein,Kossowski,1952-08-24,F,1987-10-08,d006,Quality Management
10494,Yakkov,Servieres,1953-12-21,F,1986-01-18,d004,Production
10504,Xiong,Varker,1953-04-07,M,1988-12-03,d007,Sales
10512,Udi,Gihr,1955-11-16,M,1986-01-12,d003,Human Resources
10522,Marke,Cesareni,1955-07-24,F,1986-12-12,d003,Human Resources
10548,Ramalingam,Gunderson,1952-06-12,M,1986-05-04,d001,Marketing
10548,Ramalingam,Gunderson,1952-06-12,M,1986-05-04,d007,Sales
10564,Jianhao,Thisen,1955-04-14,M,1986-05-08,d004,Production
10623,Aleksander,Danlos,1953-07-11,F,1987-03-07,d005,Development
10623,Aleksander,Danlos,1953-07-11,F,1987-03-07,d008,Research
10628,Krisda,Krogh,1954-04-18,M,1985-09-11,d005,Development
10631,Inderjeet,Chaudhuri,1955-05-17,M,1988-02-16,d005,Development
10642,Hirochika,Narlikar,1955-12-19,M,1986-08-06,d005,Development
10653,Otmar,Feinberg,1953-06-16,M,1987-04-30,d005,Development
10671,Parviz,Rebaine,1953-06-12,M,1987-01-08,d003,Human Resources
10676,Valeri,Danley,1953-08-26,F,1986-03-20,d005,Development
10693,Berhard,Daescu,1953-12-14,F,1986-01-08,d009,Customer Service
10702,Bader,Szemeredi,1952-11-25,M,1985-07-23,d005,Development
10718,Adib,Rullman,1955-12-19,M,1988-07-21,d005,Development
10726,Zita,Minakawa,1954-01-11,F,1985-09-01,d005,Development
10734,Sachar,Erdi,1954-07-06,M,1985-04-03,d004,Production
10745,Poorav,Ranze,1953-10-23,F,1987-05-26,d004,Production
10749,King,Brendel,1955-08-21,M,1985-09-26,d004,Production
10767,Monique,Doering,1954-02-28,F,1987-06-17,d007,Sales
10768,Ishfaq,Candan,1955-06-24,M,1985-07-04,d004,Production
10778,Selwyn,Merey,1953-03-13,M,1986-07-04,d001,Marketing
10791,Tadahiko,Sgarro,1954-05-27,M,1988-07-30,d005,Development
10795,Supot,Naudin,1954-12-14,M,1985-05-21,d007,Sales
10808,Chenxi,Leijenhorst,1955-09-11,M,1987-03-07,d005,Development
10835,Tomoyuki,Kermarrec,1952-11-23,M,1985-07-28,d004,Production
10836,Jianhua,Leivant,1953-07-15,F,1985-07-26,d007,Sales
10836,Jianhua,Leivant,1953-07-15,F,1985-07-26,d009,Customer Service
10844,Dipayan,Koprowski,1954-02-03,M,1987-03-03,d005,Development
10847,Theirry,Danley,1952-03-04,M,1986-07-25,d008,Research
10848,Fen,Bratsberg,1954-07-16,F,1985-04-20,d004,Production
10878,Lakshmi,Deville,1952-06-13,M,1988-02-25,d007,Sales
10879,Muzhong,Chleq,1953-08-18,F,1985-08-15,d005,Development
10883,Shimshon,Champarnaud,1952-07-30,M,1987-11-07,d004,Production
10909,Georgi,Atchley,1954-11-11,M,1985-04-21,d005,Development
10921,Mara,Bahi,1955-07-20,F,1986-07-27,d004,Production
10924,Hironoby,Atchley,1954-04-27,F,1988-08-14,d007,Sales
10927,Gal,Scallan,1953-03-13,M,1985-10-26,d001,Marketing
10936,Mountaz,Schicker,1953-04-08,F,1987-10-27,d003,Human Resources
10943,Berna,Skafidas,1955-11-19,M,1988-02-19,d005,Development
10965,Eckart,Braunschweig,1955-07-10,M,1986-07-29,d007,Sales
10969,Premal,Noriega,1954-09-05,M,1988-08-22,d005,Development
10974,Muneo,Papsdorf,1952-03-07,M,1985-11-25,d005,Development
10986,Masako,Schiper,1954-08-11,M,1985-10-11,d005,Development
10988,Chinya,Deyuan,1955-06-24,M,1985-06-19,d005,Development
10989,Sumali,Candan,1954-09-08,F,1985-07-20,d002,Finance
10990,Shin,Foote,1954-10-22,M,1988-07-06,d005,Development
11009,Alper,Axelband,1954-08-30,F,1986-09-09,d007,Sales
11012,Taegyun,Speckmann,1953-09-12,F,1986-12-28,d001,Marketing
11012,Taegyun,Speckmann,1953-09-12,F,1986-12-28,d009,Customer Service
11019,Leon,Huttel,1954-09-06,M,1985-02-04,d005,Development
11021,Srinidhi,Henders,1954-07-13,F,1985-05-24,d008,Research
11027,Remzi,Cappello,1955-12-13,M,1986-05-07,d004,Production
11031,Ottavia,Walstra,1954-12-20,M,1985-04-26,d001,Marketing
11037,Lansing,Maliniak,1952-05-22,M,1988-01-28,d004,Production
11038,Jinya,Beidas,1955-10-13,M,1985-07-15,d008,Research
11042,Gou,Breugel,1955-07-13,F,1988-06-26,d005,Development
11048,Jaques,Demke,1952-10-26,M,1985-02-26,d007,Sales
11050,Elvis,Katiyar,1952-09-23,M,1986-05-06,d001,Marketing
11051,Przemyslawa,Erol,1952-10-06,F,1985-08-09,d004,Production
11070,Adib,Raney,1952-06-30,M,1985-07-24,d006,Quality Management
11081,Barry,Boyle,1952-06-20,M,1985-06-17,d002,Finance
11085,Hailing,Thummel,1953-09-08,M,1986-11-27,d004,Production
11100,Berna,Cochrane,1955-10-14,M,1986-10-13,d008,Research
11106,Aris,Iwayama,1955-02-23,F,1985-08-31,d005,Development
11112,Boaz,Mukaidono,1954-08-05,M,1987-08-20,d009,Customer Service
11113,Shahab,Peng,1953-04-28,F,1985-11-30,d001,Marketing
11121,Vugranam,Kakkad,1953-02-13,F,1987-02-21,d005,Development
11133,Nalini,Azulay,1955-12-13,M,1988-02-04,d006,Quality Management
11134,Sachar,Rajcani,1954-05-15,F,1988-05-26,d006,Quality Management
11137,Hugh,Luca,1955-03-17,M,1986-07-31,d005,Development
11139,Bogdan,Homond,1955-10-13,F,1985-12-24,d009,Customer Service
11146,Ishfaq,Masand,1954-06-25,F,1988-03-21,d007,Sales
11148,Zhanqiu,Botman,1953-01-23,F,1985-07-06,d002,Finance
11148,Zhanqiu,Botman,1953-01-23,F,1985-07-06,d003,Human Resources
11162,Kauko,Narlikar,1953-03-25,F,1985-03-28,d005,Development
11180,Mitsuyuki,Bojadziev,1952-11-07,F,1986-06-11,d005,Development
11197,Tadahiro,Fordan,1955-05-11,M,1986-04-13,d007,Sales
11204,Diederik,Covnot,1955-12-15,M,1985-09-18,d004,Production
11207,Saeed,Gips,1955-08-14,F,1987-11-09,d005,Development
11208,Saniya,Valtorta,1952-05-29,F,1988-08-26,d004,Production
11211,Yurij,Rissland,1952-12-11,M,1985-09-17,d004,Production
11217,Kellie,Mawatari,1954-07-01,M,1987-09-22,d004,Production
11232,Hidefumi,Crelier,1955-09-03,M,1988-02-02,d009,Customer Service
11240,Kiam,Condotta,1955-08-12,M,1988-11-11,d005,Development
11249,Randi,Cyre,1954-10-01,M,1985-08-29,d005,Development
11251,Bezalel,Chinal,1955-10-16,M,1985-11-26,d001,Marketing
11268,Aimee,Petersohn,1954-05-14,F,1985-05-17,d004,Production
11275,Hitomi,Eppinger,1955-10-18,F,1987-05-26,d005,Development
11290,Visit,Dredge,1953-05-07,M,1985-09-08,d005,Development
11295,Abdelkader,Lanzelotte,1953-02-03,M,1985-05-15,d002,Finance
11319,Pranas,Marrakchi,1955-06-05,F,1986-10-03,d005,Development
11320,Atilio,McAlpine,1954-04-13,M,1987-11-24,d001,Marketing
11322,Nathalie,Pocchiola,1952-07-19,F,1985-02-08,d006,Quality Management
11324,Kauko,Billingsley,1953-11-16,F,1985-08-29,d004,Production
11338,Kwangsub,Hanratty,1954-11-03,M,1987-04-14,d007,Sales
11339,Flemming,Massonet,1954-06-05,M,1987-05-09,d004,Production
11347,Anneli,Jonsson,1954-12-27,M,1986-04-20,d005,Development
11365,Toshimi,Shinomoto,1953-11-17,M,1988-04-02,d004,Production
11376,Valery,Suomi,1952-03-10,M,1986-03-14,d008,Research
11380,Kenroku,Pelc,1952-04-23,M,1988-03-03,d005,Development
11385,Shiv,Ullian,1952-03-04,M,1988-05-22,d004,Production
11386,Alselm,Assaf,1954-09-27,F,1987-11-30,d006,Quality Management
11393,Junsik,Junot,1954-05-17,M,1985-04-30,d004,Production
11398,Oscar,Peir,1953-05-30,M,1986-08-23,d002,Finance
11404,Bedrich,Borovoy,1954-09-15,M,1987-03-06,d005,Development
11415,Sanjiv,Anido,1953-10-29,M,1987-03-03,d004,Production
11421,Josyula,Msuda,1953-11-07,F,1986-09-02,d004,Production
11441,Marlo,Aingworth,1954-11-16,M,1987-03-27,d007,Sales
11449,Kotesh,Asser,1955-03-30,M,1986-08-27,d004,Production
11459,Duke,Suomi,1953-10-14,M,1986-05-03,d003,Human Resources
11469,Guttorm,Giaccio,1952-12-01,M,1988-05-23,d004,Production
11506,Rance,Picel,1955-06-16,F,1986-07-01,d007,Sales
11509,Aleksander,Feldhoffer,1954-06-18,M,1987-11-12,d005,Development
11513,Otmar,Mahnke,1954-07-16,M,1986-03-27,d002,Finance
11515,Ulf,Basawa,1955-03-03,F,1986-02-27,d007,Sales
11518,Jinxi,Oxman,1953-07-21,M,1985-07-03,d003,Human Resources
11524,Xiadong,Standera,1955-10-26,M,1988-09-20,d005,Development
11527,Alagu,Boyle,1952-02-06,M,1988-07-03,d001,Marketing
11528,Zito,Dolinsky,1955-04-26,M,1987-06-15,d004,Production
11537,DAIDA,Pehl,1955-06-29,M,1986-07-06,d007,Sales
11554,Subhash,Taubenfeld,1955-05-28,M,1988-10-17,d001,Marketing
11554,Subhash,Taubenfeld,1955-05-28,M,1988-10-17,d003,Human Resources
11555,Kotesh,Perfilyeva,1955-08-05,M,1986-10-14,d003,Human Resources
11567,Teiji,Mitzlaff,1954-07-06,M,1988-02-03,d007,Sales
11568,Martins,Fujisaki,1955-12-01,M,1987-07-28,d005,Development
11603,Herb,Swen,1954-12-07,F,1985-04-13,d002,Finance
11607,Tomokazu,Foong,1953-12-03,F,1987-09-12,d004,Production
11615,Shem,Isaak,1955-03-05,F,1988-09-13,d007,Sales
11624,Adil,Gammage,1955-05-16,M,1988-04-05,d004,Production
11628,Fan,Malinowski,1952-02-14,M,1988-10-23,d005,Development
11628,Fan,Malinowski,1952-02-14,M,1988-10-23,d008,Research
11640,Valeri,Coorg,1953-10-06,M,1987-01-18,d005,Development
11647,Magy,Nitsche,1953-10-13,M,1988-05-11,d005,Development
11660,Gill,Stenning,1955-07-19,F,1986-11-22,d007,Sales
11673,Henk,Felder,1954-12-20,F,1988-10-13,d004,Production
11676,Valeri,Ferriere,1952-04-12,F,1985-03-16,d004,Production
11681,Fumitake,Benzmuller,1952-05-15,F,1987-01-21,d004,Production
11684,Oksana,Gide,1953-03-07,F,1986-02-21,d001,Marketing
11696,Dante,Rothe,1954-10-26,M,1985-10-23,d007,Sales
11732,Sanjoy,Ranft,1955-06-14,F,1985-08-11,d004,Production
11732,Sanjoy,Ranft,1955-06-14,F,1985-08-11,d009,Customer Service
11735,Amalendu,Picci,1955-02-19,M,1988-07-14,d009,Customer Service
11746,Koichi,Marrakchi,1952-05-22,F,1988-11-17,d007,Sales
11751,Jiafu,Emiris,1953-02-02,M,1988-11-03,d008,Research
11764,Sanjay,Anick,1953-04-22,F,1988-04-25,d004,Production
11769,Chandrasekaran,Lampe,1953-07-17,M,1988-02-15,d005,Development
11769,Chandrasekaran,Lampe,1953-07-17,M,1988-02-15,d008,Research
11772,Gaurav,Penz,1954-06-19,F,1987-12-04,d005,Development
11797,Chenxi,Thambidurai,1954-08-12,M,1988-08-30,d001,Marketing
11797,Chenxi,Thambidurai,1954-08-12,M,1988-08-30,d007,Sales
11810,Amabile,Bhattacharjee,1952-12-08,M,1987-03-17,d005,Development
11817,Niranjan,Markovitch,1955-05-25,M,1986-04-12,d007,Sales
11832,Arto,Zlotek,1952-05-18,M,1986-10-16,d005,Development
11844,Shawna,Demeyer,1953-10-30,M,1988-01-27,d005,Development
11853,Zeljko,Kusakabe,1952-06-19,F,1988-11-17,d001,Marketing
11857,Divier,Farrag,1955-12-03,F,1986-08-27,d007,Sales
11864,Pradeep,Kriebel,1952-06-14,F,1985-11-12,d009,Customer Service
11871,Nalini,Sommen,1953-05-02,M,1988-01-23,d005,Development
11872,Cheong,Riexinger,1953-01-17,M,1987-12-06,d001,Marketing
11894,Mitchel,Validov,1954-12-23,M,1988-06-22,d005,Development
11897,Cordelia,Setlzner,1952-11-23,M,1987-12-27,d007,Sales
11906,Hideo,Boguraev,1955-04-26,F,1987-03-30,d005,Development
11915,Miomir,Mawatari,1954-08-16,M,1987-08-29,d004,Production
11931,Gunilla,Chiodo,1952-10-30,F,1988-10-03,d008,Research
11933,Basil,Erman,1953-08-15,M,1987-06-13,d005,Development
11949,Martijn,Harbusch,1953-01-27,M,1985-03-11,d004,Production
11983,Jaana,Hedayat,1953-01-04,M,1986-10-11,d005,Development
11993,Marit,Dalphin,1955-10-29,M,1986-06-25,d003,Human Resources
12011,Zhilian,Coorg,1953-12-16,F,1988-07-22,d007,Sales
12036,Mads,Ratzlaff,1953-03-02,M,1986-09-05,d001,Marketing
12036,Mads,Ratzlaff,1953-03-02,M,1986-09-05,d007,Sales
12037,Arunas,Katzenelson,1954-01-11,M,1986-10-01,d009,Customer Service
12050,Yuchang,Tchuente,1953-06-08,F,1988-10-10,d004,Production
12062,Margareta,Worfolk,1954-01-20,M,1985-02-03,d003,Human Resources
12069,Ayonca,Burnard,1953-12-27,M,1985-05-13,d005,Development
12070,Ger,Shokrollahi,1955-07-23,M,1988-11-14,d005,Development
12076,Karlis,Siprelle,1955-03-16,F,1985-03-25,d007,Sales
12082,Xinan,Yamaashi,1953-09-20,M,1986-01-29,d007,Sales
12089,Bilhanan,Socorro,1954-06-21,M,1986-10-22,d003,Human Resources
12099,Nobuyoshi,Kuzuoka,1953-01-12,M,1987-08-23,d007,Sales
12112,Satyanarayana,Avouris,1953-07-01,M,1986-05-24,d002,Finance
12122,Satoru,Krone,1954-06-27,F,1987-07-24,d004,Production
12123,Xiahua,Syrzycki,1954-07-08,F,1987-07-18,d008,Research
12125,Shounak,Erman,1953-04-16,F,1987-05-01,d004,Production
12125,Shounak,Erman,1953-04-16,F,1987-05-01,d005,Development
12149,Suebskul,Grandbois,1954-10-25,M,1988-10-01,d007,Sales
12159,Shem,Perly,1955-08-15,M,1985-07-17,d005,Development
12165,Xiaobin,Maquelin,1952-11-19,F,1985-04-27,d005,Development
12183,Harngdar,Iisaku,1954-06-29,M,1987-09-19,d006,Quality Management
12192,Feiyu,Klyachko,1954-11-06,F,1985-03-16,d006,Quality Management
12205,Sushant,Rossi,1955-08-24,M,1986-04-14,d005,Development
12206,Barton,Janetzko,1954-11-21,F,1985-03-27,d005,Development
12218,Yaghout,Strooper,1954-08-01,M,1985-02-18,d006,Quality Management
12221,Vincent,Melter,1955-07-14,M,1985-09-16,d005,Development
12222,Abdelwaheb,Holburn,1953-03-04,F,1986-09-01,d002,Finance
12223,Niteen,Koyama,1954-07-27,F,1986-08-13,d004,Production
12247,Subbu,Penttonen,1952-03-26,F,1985-04-09,d005,Development
12249,Eldridge,Sadowski,1952-09-20,M,1987-02-28,d005,Development
12256,Guadalupe,Reghbati,1955-02-15,F,1985-08-26,d003,Human Resources
12264,Mart,Pagter,1953-12-30,M,1987-07-24,d005,Development
12270,Shakhar,Kornyak,1953-08-10,M,1988-01-04,d008,Research
12272,Behnaam,Grandbois,1955-10-16,F,1987-12-08,d003,Human Resources
12308,Mototsugu,Cronau,1952-02-17,M,1985-08-11,d002,Finance
12308,Mototsugu,Cronau,1952-02-17,M,1985-08-11,d003,Human Resources
12311,Susanne,Lubachevsky,1955-02-11,M,1985-10-22,d005,Development
12327,DAIDA,Bruckman,1952-05-21,M,1986-10-16,d005,Development
12341,Rasiah,Luga,1955-02-13,M,1985-05-25,d005,Development
12343,Sorina,Slaats,1952-10-18,M,1988-08-25,d004,Production
12343,Sorina,Slaats,1952-10-18,M,1988-08-25,d009,Customer Service
12365,Kamakshi,Bisiani,1954-01-21,M,1985-04-07,d004,Production
12373,Mooi,Driscoll,1953-04-26,F,1985-03-22,d007,Sales
12395,Sanjit,Felder,1955-01-08,M,1988-02-04,d002,Finance
12399,Mihalis,Luga,1955-11-15,M,1987-12-07,d007,Sales
12411,Shao,Ibel,1952-05-31,M,1986-08-17,d007,Sales
12413,Hugh,Gadepally,1955-06-17,F,1988-05-04,d004,Production
12417,Dannz,Spelt,1955-11-18,F,1988-07-05,d004,Production
12422,Berhard,Demos,1954-12-04,F,1985-07-20,d003,Human Resources
12454,Kerryn,Farris,1954-08-21,F,1986-09-10,d007,Sales
12464,Shai,Milicic,1955-09-08,F,1986-08-18,d007,Sales
12475,Filipe,Roison,1953-03-30,M,1987-04-26,d005,Development
12487,Mona,Reghbati,1954-04-24,F,1987-10-04,d002,Finance
12487,Mona,Reghbati,1954-04-24,F,1987-10-04,d003,Human Resources
12489,Arnould,Munck,1955-01-23,F,1986-04-11,d005,Development
12490,Jackson,Muchinsky,1955-08-08,F,1988-05-16,d005,Development
12497,Stein,Penz,1953-08-26,M,1985-04-05,d007,Sales
12501,Morrie,Matheson,1954-11-22,F,1986-06-05,d002,Finance
12504,Adly,Rosaz,1953-01-04,F,1987-04-17,d004,Production
12514,Tomofumi,Melter,1952-11-14,M,1985-12-03,d005,Development
12528,Conor,Cincotta,1952-11-20,F,1988-09-24,d009,Customer Service
12534,Yongmao,Gerlach,1953-01-31,M,1985-08-14,d004,Production
12541,Shih,Nanard,1952-04-22,M,1988-08-31,d007,Sales
12542,Kazuhide,Bouloucos,1954-07-26,F,1987-09-12,d003,Human Resources
12551,Jeane,Tzvieli,1954-03-15,M,1987-12-04,d004,Production
12553,Aral,Vesna,1954-05-08,M,1987-02-28,d003,Human Resources
12557,Stafford,Kopetz,1954-01-01,M,1988-03-20,d004,Production
12557,Stafford,Kopetz,1954-01-01,M,1988-03-20,d006,Quality Management
12589,Anoosh,Chleq,1952-11-23,M,1988-09-08,d005,Development
12596,Breannda,Roisin,1955-10-10,M,1986-04-25,d003,Human Resources
12601,Ghassan,Simkin,1955-08-16,M,1988-12-17,d005,Development
12608,Nectarios,Mondadori,1955-10-27,M,1985-06-23,d003,Human Resources
12635,Xinyu,Restivo,1952-11-09,F,1985-11-27,d004,Production
12635,Xinyu,Restivo,1952-11-09,F,1985-11-27,d009,Customer Service
12638,Yuqun,Seiwald,1954-11-09,F,1986-07-01,d005,Development
12642,Suebskul,Gips,1955-09-27,F,1987-05-24,d001,Marketing
12651,Pragnesh,Bael,1952-07-24,M,1988-01-27,d007,Sales
12662,Leucio,Alvarado,1952-08-02,M,1985-08-27,d005,Development
12663,Nobuyoshi,Stellhorn,1954-10-31,M,1986-09-29,d005,Development
12664,Zhonghua,Parveen,1952-05-01,M,1987-08-19,d007,Sales
12664,Zhonghua,Parveen,1952-05-01,M,1987-08-19,d009,Customer Service
12689,Luerbio,Boudaillier,1953-01-19,M,1987-04-12,d005,Development
12691,Oddvar,Gils,1952-10-17,M,1987-11-21,d004,Production
12697,Uri,Brizzi,1955-06-25,M,1986-07-11,d003,Human Resources
12709,Ronghao,Botman,1955-08-09,M,1985-12-02,d005,Development
12717,Tzu,Jiafu,1953-04-17,F,1988-05-16,d008,Research
12722,Elliott,Cheshire,1955-09-23,F,1985-03-29,d002,Finance
12726,Fumitake,Panwar,1954-03-27,M,1988-09-04,d005,Development
12729,Nahla,Rahier,1954-05-18,F,1987-08-25,d004,Production
12729,Nahla,Rahier,1954-05-18,F,1987-08-25,d009,Customer Service
12731,Yongmao,Waymire,1953-05-09,F,1988-04-05,d003,Human Resources
12732,Mara,Takanami,1952-09-27,M,1988-04-06,d007,Sales
12734,Gil,Frijda,1952-03-05,M,1986-03-03,d005,Development
12755,Rildo,Rodite,1955-02-20,F,1987-03-18,d003,Human Resources
12773,Jenwei,Lovengreen,1952-06-26,M,1985-03-05,d005,Development
12790,Gunilla,Perl,1953-02-05,F,1986-04-22,d007,Sales
12795,Masoud,Fordan,1952-05-06,M,1986-10-11,d002,Finance
12798,Lillian,Beeson,1952-05-18,F,1987-12-27,d007,Sales
12803,Gad,Boissier,1952-05-12,M,1985-03-16,d001,Marketing
12803,Gad,Boissier,1952-05-12,M,1985-03-16,d007,Sales
12815,Sushant,Junot,1955-03-25,M,1985-02-27,d008,Research
12819,Mountaz,Gubsky,1953-07-30,M,1986-11-30,d004,Production
12848,Kazuhide,Smeets,1953-01-17,M,1987-06-14,d005,Development
12863,Leif,Matheson,1954-08-02,M,1985-09-06,d004,Production
12872,Marl,Schmittgen,1953-02-18,F,1986-09-09,d007,Sales
12879,Baruch,Eugenio,1955-09-07,M,1986-05-14,d005,Development
12890,Neven,Casley,1955-10-05,F,1985-10-31,d007,Sales
12893,Licheng,Crouzet,1954-10-09,M,1987-03-18,d007,Sales
12895,Roddy,Serot,1952-04-28,M,1988-05-25,d004,Production
12905,Munehiro,Gecsei,1955-01-24,M,1987-07-19,d005,Development
12926,Heekeun,Luby,1952-04-24,M,1985-12-24,d008,Research
12940,Odinaldo,Farrar,1953-10-25,F,1987-12-12,d005,Development
12941,Tommaso,Perelgut,1954-07-29,F,1986-11-06,d005,Development
12949,Geoff,Asrin,1955-02-24,F,1987-02-12,d005,Development
12977,Byong,Markovitch,1954-11-29,M,1987-08-24,d005,Development
12983,Elliott,Hambrick,1954-04-07,F,1985-12-01,d002,Finance
13030,Yahiko,Kroll,1955-02-12,M,1987-07-02,d001,Marketing
13046,Vivian,Stafford,1953-03-09,M,1987-04-19,d002,Finance
13047,Atilio,Chelton,1953-04-24,M,1987-01-04,d005,Development
13075,Rosella,Morrin,1955-05-24,M,1986-08-17,d001,Marketing
13075,Rosella,Morrin,1955-05-24,M,1986-08-17,d007,Sales
13076,Deniz,Skafidas,1954-03-09,F,1988-06-14,d005,Development
13096,Ibibia,Armand,1953-01-03,M,1988-10-25,d006,Quality Management
13103,Srinidhi,Ellozy,1952-05-09,F,1988-06-19,d005,Development
13124,Quingbo,Garnick,1955-11-06,F,1985-03-17,d007,Sales
13133,Guther,Senzako,1955-06-21,M,1985-09-03,d001,Marketing
13133,Guther,Senzako,1955-06-21,M,1985-09-03,d009,Customer Service
13134,Lorien,Chepyzhov,1955-06-25,M,1987-08-29,d004,Production
13144,Persi,Nollmann,1952-07-11,M,1987-10-16,d002,Finance
13146,Haldon,Erie,1953-11-01,M,1985-05-25,d007,Sales
13147,Shichao,Ginesta,1955-12-28,M,1985-12-16,d007,Sales
13156,Akeel,Millington,1952-04-19,M,1986-12-29,d005,Development
13165,Lucian,Benner,1954-09-09,F,1988-03-16,d006,Quality Management
13168,Munir,Stentiford,1954-06-10,F,1987-09-11,d004,Production
13170,Cheong,Bernardeschi,1955-10-25,M,1986-05-07,d002,Finance
13170,Cheong,Bernardeschi,1955-10-25,M,1986-05-07,d003,Human Resources
13171,Anoosh,Birnbaum,1954-12-29,M,1987-08-31,d006,Quality Management
13173,Arve,Horswill,1953-04-20,M,1987-09-24,d007,Sales
13179,Moty,Janocha,1955-09-09,M,1987-04-16,d007,Sales
13182,Kokou,Rodite,1954-02-25,M,1985-08-27,d004,Production
13186,Kyoichi,Barbanera,1955-06-19,M,1986-04-29,d007,Sales
13192,Rosita,Flowers,1953-01-28,M,1988-11-10,d004,Production
13192,Rosita,Flowers,1953-01-28,M,1988-11-10,d005,Development
13202,Aram,Scharstein,1953-05-10,F,1986-03-29,d008,Research
13210,Jianhua,Klassen,1953-06-19,M,1986-09-19,d001,Marketing
13210,Jianhua,Klassen,1953-06-19,M,1986-09-19,d007,Sales
13213,Hein,Billawala,1954-12-29,M,1988-02-03,d007,Sales
13232,Mitchel,Fujisaki,1955-01-29,F,1986-06-02,d005,Development
13233,Alselm,Chvatal,1954-08-11,M,1987-03-31,d005,Development
13238,Ebru,Foote,1953-02-23,F,1985-10-30,d007,Sales
13240,King,Pileggi,1955-02-14,M,1987-12-20,d005,Development
13250,Zeydy,Schusler,1954-02-20,M,1985-11-19,d004,Production
13272,Arun,Jiang,1953-10-11,F,1985-03-10,d009,Customer Service
13276,Yechiam,Seuren,1955-05-07,M,1986-03-09,d002,Finance
